protein_id	sprot_acc	pident	protein_name	EC	signal_peptide	n_TM_outside_signal	secreted
KAN1688722.1	G4N2B5	35.7	ABC transporter 7			17	0
KAN1688724.1	O14081	36.2	Putative alpha,alpha-trehalose-phosphate synthase [UDP-forming] 106 kDa subunit	2.4.1.15		0	0
KAN1688725.1	Q9U9A3	68.4	Serine/threonine-protein phosphatase 6 catalytic subunit	3.1.3.16		0	0
KAN1688726.1	Q5R7K6	31.7	ER membrane protein complex subunit 1		1-22	1	0
KAN1688745.1	Q76KX0	46.2	L-amino acid amidase	3.5.1.101 {ECO:0000269|PubMed:15066172}		0	0
KAN1688750.1	C3K630	40.1	L-amino acid amidase	3.5.1.101		0	0
KAN1688751.1	C0ZKI1	34.0	Proline iminopeptidase	3.4.11.5		0	0
KAN1688753.1	Q9UV10	31.8	Heterokaryon incompatibility protein 6, OR allele			0	0
KAN1688761.1	Q9HFW2	35.9	Serine/threonine-protein kinase CLA4	2.7.11.1		0	0
KAN1688763.1	F4ITM1	32.2	E3 ubiquitin-protein ligase RSL1	2.3.2.31 {ECO:0000269|PubMed:24388521}		1	0
KAN1688765.1	P14065	44.5	Glycerol 2-dehydrogenase (NADP(+))	1.1.1.156		0	0
KAN1688766.1	Q1E0A3	43.4	Metacaspase-1	3.4.22.-		0	0
KAN1688767.1	P14065	44.2	Glycerol 2-dehydrogenase (NADP(+))	1.1.1.156		0	0
KAN1688768.1	P14065	45.2	Glycerol 2-dehydrogenase (NADP(+))	1.1.1.156		0	0
KAN1688769.1	P14065	45.8	Glycerol 2-dehydrogenase (NADP(+))	1.1.1.156		0	0
KAN1688771.1	P14065	41.1	Glycerol 2-dehydrogenase (NADP(+))	1.1.1.156		0	0
KAN1688775.1	P78741	50.8	Pheromone B beta 1 receptor			7	0
KAN1688787.1	P56502	60.0	Pheromone B alpha 3 receptor			7	0
KAN1688791.1	P78741	52.8	Pheromone B beta 1 receptor			7	0
KAN1688795.1	Q92275	52.5	Pheromone B alpha 1 receptor			7	0
KAN1688796.1	P78741	35.5	Pheromone B beta 1 receptor			7	0
KAN1688797.1	I2DBY1	45.3	Dye-decolorizing peroxidase AauDyP1	1.11.1.19 {ECO:0000269|PubMed:19756587, ECO:0000269|PubMed:23111597, ECO:0000269|PubMed:25153532};1.11.1.19 {ECO:0000269|PubMed:19756587, ECO:0000269|PubMed:23111597};1.11.1.7 {ECO:0000269|PubMed:19756587, ECO:0000269|PubMed:23111597, ECO:0000269|PubMed:25153532, ECO:0000269|PubMed:25495127, ECO:0000269|PubMed:25542606};1.11.1.7 {ECO:0000269|PubMed:19756587, ECO:0000269|PubMed:23111597}	1-22	0	1
KAN1688798.1	Q9US13	37.9	Probable 26S proteasome regulatory subunit rpn9			0	0
KAN1688799.1	Q10274	47.2	Telobox protein 1			0	0
KAN1688809.1	F4JTP5	37.2	Serine/threonine-protein kinase STY46	2.7.11.1 {ECO:0000269|PubMed:17090544}		0	0
KAN1688812.1	G4N2A8	31.4	MFS-type transporter 1			14	0
KAN1688813.1	P17549	41.1	Benzoate 4-monooxygenase bphA	1.14.14.92 {ECO:0000269|PubMed:11594739}		1	0
KAN1688814.1	P00651	35.1	Guanyl-specific ribonuclease T1	4.6.1.24	1-26	0	1
KAN1688821.1	Q9FJD2	31.6	Oligopeptide transporter 9			13	0
KAN1688825.1	O23482	30.8	Oligopeptide transporter 3			16	0
KAN1688830.1	Q8PTT8	30.9	Exosome complex component Rrp41	3.1.13.- {ECO:0000255|HAMAP-Rule:MF_00591}		0	0
KAN1688832.1	Q0CJ61	48.4	Efflux pump atB			10	0
KAN1688836.1	Q0CEF3	41.5	Probable beta-glucosidase L	3.2.1.21	1-21	0	1
KAN1688838.1	A0A3B1EFP7	36.6	Strobilurin A biosynthesis cluster protein l1			1	0
KAN1688841.1	A0A0D1E921	46.1	Appressorium protein ROW1		1-21	1	0
KAN1688860.1	A0A2H3D8Y2	50.5	Short-chain dehydrogenase/reductase ARMGADRAFT_1018421	1.1.1.-		0	0
KAN1688861.1	A0A6S6QI82	36.9	Cytochrome P450 monooxygenase ple1	1.-.-.- {ECO:0000269|PubMed:28924980}		1	0
KAN1688862.1	Q03722	31.6	Uncharacterized protein YML020W			0	0
KAN1688864.1	A1C4M2	39.1	Extracellular metalloproteinase mep	3.4.24.-	1-18	0	1
KAN1688877.1	Q9SSE9	33.3	Lysine-specific demethylase JMJ25	1.14.11.65 {ECO:0000269|PubMed:18218897}		0	0
KAN1690084.1	Q8W103	31.3	Protein CHROMATIN REMODELING 24	3.6.4.-		0	0
KAN1690101.1	O60020	35.7	Aspartic protease	3.4.23.-	1-21	0	1
KAN1690102.1	P32486	41.3	Beta-glucan synthesis-associated protein KRE6			1	0
KAN1690103.1	Q2U1F3	43.6	Leucine aminopeptidase A	3.4.11.-	1-18	0	1
KAN1690107.1	Q9ZUP4	41.6	Casein kinase 1-like protein 5	2.7.11.1 {ECO:0000305}		0	0
KAN1690114.1	Q5ZIX8	30.3	Lysine-specific demethylase 3A	1.14.11.65 {ECO:0000250|UniProtKB:Q9Y4C1}		0	0
KAN1690135.1	Q9C0Y6	33.0	Zinc-type alcohol dehydrogenase-like protein PB24D3.08c	1.-.-.-		0	0
KAN1690137.1	A0A2H0ZNJ6	43.0	Peptide transporter PTR_B			12	0
KAN1690141.1	B8MYS7	52.8	MFS glucose transporter mfs1			12	0
KAN1690143.1	M2T7Z1	32.4	FAD-dependent monooxygenase tpcD	1.-.-.- {ECO:0000269|PubMed:29417814}	1-22	0	1
KAN1690144.1	A0A1L7VET6	34.4	FAD-dependent monooxygenase FUP4	1.-.-.- {ECO:0000269|PubMed:34357940}	1-19	0	1
KAN1690148.1	A7HU16	45.1	Baeyer-Villiger monooxygenase	1.14.13.- {ECO:0000269|PubMed:24903773}		0	0
KAN1690150.1	A7HU16	46.8	Baeyer-Villiger monooxygenase	1.14.13.- {ECO:0000269|PubMed:24903773}		0	0
KAN1690151.1	A7HU16	51.4	Baeyer-Villiger monooxygenase	1.14.13.- {ECO:0000269|PubMed:24903773}		0	0
KAN1690152.1	A7HU16	54.7	Baeyer-Villiger monooxygenase	1.14.13.- {ECO:0000269|PubMed:24903773}		0	0
KAN1690154.1	C5G6U8	32.3	Inactive metallocarboxypeptidase ECM14		1-21	0	1
KAN1690158.1	A7HU16	48.0	Baeyer-Villiger monooxygenase	1.14.13.- {ECO:0000269|PubMed:24903773}		0	0
KAN1690159.1	P32420	73.0	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial	1.3.5.1		0	0
KAN1690160.1	W6Q9S9	51.3	Chanoclavine-I aldehyde reductase fgaOx3	1.3.1.100 {ECO:0000269|PubMed:28902217}		0	0
KAN1690161.1	A6ZRW7	44.4	E3 ubiquitin-protein ligase DMA2	2.3.2.27 {ECO:0000250|UniProtKB:P53924}		0	0
KAN1690163.1	B2ABS0	53.7	4-O-methyl-glucuronoyl methylesterase	3.1.1.117 {ECO:0000269|PubMed:24531271}	1-21	0	1
KAN1690164.1	Q6AXN4	30.4	Nucleoporin NDC1			6	0
KAN1690165.1	Q9CL21	30.1	ATP-dependent DNA helicase RecQ	5.6.2.4 {ECO:0000250|UniProtKB:P15043}		0	0
KAN1690173.1	A0A5C1RGE8	41.3	Ascochitine biosynthesis cluster MFS transporter			12	0
KAN1690174.1	O94561	49.0	Peroxiredoxin bcp1	1.11.1.24 {ECO:0000250|UniProtKB:P40553}		0	0
KAN1690175.1	B0Y0I4	55.4	Probable exo-1,4-beta-xylosidase bxlB	3.2.1.37	1-25	0	1
KAN1690181.1	P56578	44.9	Putative peroxiredoxin	1.11.1.24 {ECO:0000250|UniProtKB:P38013}		0	0
KAN1690182.1	G4ND53	37.5	Peroxisomal membrane protein import receptor PEX19			0	0
KAN1690183.1	G3Y1Q5	47.2	Mitochondrial citrate transporter F	7.-.-.- {ECO:0000305|PubMed:36177470}		6	0
KAN1690189.1	J9VXS6	48.4	Transcription factor TUR1			0	0
KAN1690190.1	G0S196	43.0	Phospholipid-transporting ATPase DNF1	7.6.2.1 {ECO:0000305|PubMed:32303992}		10	0
KAN1690199.1	Q9C1X1	54.8	Periodic tryptophan protein 2 homolog			0	0
KAN1690205.1	A0A2H3D8Y2	42.0	Short-chain dehydrogenase/reductase ARMGADRAFT_1018421	1.1.1.-		0	0
KAN1690206.1	Q0QLE4	36.2	2,3-dimethylmalate lyase	4.1.3.32		0	0
KAN1690207.1	A0A2H3D8Y2	49.8	Short-chain dehydrogenase/reductase ARMGADRAFT_1018421	1.1.1.-		0	0
KAN1690208.1	A0A2H3D8Y2	48.2	Short-chain dehydrogenase/reductase ARMGADRAFT_1018421	1.1.1.-		0	0
KAN1690212.1	Q6VNB8	33.1	WD repeat and FYVE domain-containing protein 3			0	0
KAN1690215.1	G0SB20	68.0	Dihydrolipoamide dehydrogenase	1.8.1.4 {ECO:0000305|PubMed:33567276}		0	0
KAN1690216.1	P34054	53.4	Amino-acid permease inda1			11	0
KAN1690219.1	J9VQH1	39.9	ATP-dependent permease YOR1	7.2.2.- {ECO:0000250|UniProtKB:P53049}		9	0
KAN1690220.1	O14340	33.6	Oxysterol-binding protein homolog C2F12.05c			0	0
KAN1690222.1	O14340	33.6	Oxysterol-binding protein homolog C2F12.05c			0	0
KAN1690225.1	E9PSL7	33.2	Citron rho-interacting kinase	2.7.11.1 {ECO:0000250|UniProtKB:P49025}		0	0
KAN1690228.1	F4JZC2	34.7	Cytosolic endo-beta-N-acetylglucosaminidase 1	3.2.1.96 {ECO:0000269|PubMed:21597164, ECO:0000269|PubMed:21796445}		0	0
KAN1690229.1	P32946	45.4	Lipase 2	3.1.1.3	1-14	0	1
KAN1690230.1	Q5Z9Z0	34.8	Beta-glucosidase 24	3.2.1.21 {ECO:0000250|UniProtKB:Q75I94}	1-18	0	1
KAN1690234.1	Q76L37	31.9	NADPH-dependent conjugated polyketone reductase C1	1.1.1.- {ECO:0000269|PubMed:11826979};1.1.1.358 {ECO:0000269|PubMed:11826979}		0	0
KAN1690237.1	Q8A945	39.2	3-ketodihydrosphingosine reductase	1.1.1.102 {ECO:0000269|PubMed:35667415}		0	0
KAN1690238.1	A6SSW9	30.6	Oxidoreductase BOA17	1.-.-.- {ECO:0000305|PubMed:21722295}		0	0
KAN1690241.1	O74400	32.7	Uncharacterized RNA-binding protein C4F6.14			0	0
KAN1690255.1	Q12574	65.7	Triosephosphate isomerase	5.3.1.1		0	0
KAN1690258.1	Q9CWR2	42.3	Histone-lysine N-methyltransferase SMYD3	2.1.1.354 {ECO:0000250|UniProtKB:Q9H7B4, ECO:0000255|PROSITE-ProRule:PRU00907}		0	0
KAN1690259.1	A8NCK6	43.3	Cytochrome P450 monooxygenase COX2	1.-.-.- {ECO:0000269|PubMed:19400802}		1	0
KAN1690260.1	O43002	48.0	Protein transport protein sec61 subunit beta			1	0
KAN1690262.1	Q86AQ7	35.4	Vesicle-associated membrane protein 7B			1	0
KAN1690266.1	A8NCK6	50.2	Cytochrome P450 monooxygenase COX2	1.-.-.- {ECO:0000269|PubMed:19400802}		1	0
KAN1690273.1	Q9URY9	45.6	Uncharacterized hemerythrin-like protein C869.06c			0	0
KAN1690275.1	O74628	32.9	Uncharacterized oxidoreductase C162.03	1.-.-.-		0	0
KAN1690276.1	A6YAP7	71.1	Endo-1,4-beta-xylanase 1	3.2.1.8	1-21	0	1
KAN1690278.1	Q8LFJ5	42.3	Multifunctional methyltransferase subunit TRM112 homolog A			0	0
KAN1690279.1	A6YAP7	69.7	Endo-1,4-beta-xylanase 1	3.2.1.8	1-21	0	1
KAN1690280.1	P46595	55.5	Ubiquitin-conjugating enzyme E2 4	2.3.2.23 {ECO:0000269|PubMed:39143218}		0	0
KAN1690281.1	J9VWH9	34.9	Histone-lysine N-methyltransferase, H3 lysine-9 specific	2.1.1.- {ECO:0000305|PubMed:25533783};2.1.1.367 {ECO:0000305|PubMed:25533783}		0	0
KAN1690282.1	A0A6S6QI82	38.6	Cytochrome P450 monooxygenase ple1	1.-.-.- {ECO:0000269|PubMed:28924980}		1	0
KAN1690283.1	A0A2H3CNY6	44.8	Cytochrome P450 monooxygenase ARMGADRAFT_974139	1.-.-.-		1	0
KAN1690285.1	P87148	48.4	Protein transport protein yif1			5	0
KAN1690286.1	O13686	35.1	Uncharacterized RWD, RING finger and WD repeat-containing protein C11E3.05			0	0
KAN1690287.1	I1RNL0	55.9	Sphingolipid C9-methyltransferase 2	2.1.1.317 {ECO:0000269|PubMed:19028992}		2	0
KAN1690288.1	Q4WY82	35.7	Linoleate 10R-lipoxygenase	1.13.11.62		0	0
KAN1690289.1	Q08699	84.6	Small ribosomal subunit protein uS11			0	0
KAN1690292.1	Q4WYP6	53.2	Endoplasmic reticulum transmembrane helix translocase spfA	7.4.2.- {ECO:0000250|UniProtKB:P39986}		10	0
KAN1690297.1	Q09196	60.4	Myosin regulatory light chain cdc4			0	0
KAN1690312.1	O13287	71.2	6-phosphogluconate dehydrogenase, decarboxylating	1.1.1.44		0	0
KAN1690313.1	G4NH08	67.6	Glycogen synthase kinase 1	2.7.11.1 {ECO:0000269|PubMed:30776962}		0	0
KAN1690315.1	Q4P2B6	54.5	Protein transport protein SEC31			0	0
KAN1690316.1	O13671	35.3	Importin-alpha re-exporter			0	0
KAN1690318.1	Q96H35	54.4	Probable RNA-binding protein 18			0	0
KAN1690319.1	Q9USR7	62.8	Large ribosomal subunit protein eL38A			0	0
KAN1690320.1	O14232	61.7	ATP-dependent RNA helicase mtr4	3.6.4.-		0	0
KAN1690321.1	P32470	45.9	Chitinase 1	3.2.1.14	1-22	0	1
KAN1690322.1	P87027	82.3	Septum-promoting GTP-binding protein 1			0	0
KAN1690323.1	P19984	51.2	Profilin-2			0	0
KAN1690324.1	Q01738	63.3	Cellobiose dehydrogenase	1.1.99.18	1-18	0	1
KAN1690325.1	Q06816	38.1	Putative epoxide hydrolase	3.3.2.10	1-49	0	1
KAN1690328.1	P35580	47.7	Myosin-10			0	0
KAN1690329.1	O13289	58.6	Peroxisomal catalase	1.11.1.6 {ECO:0000255|PROSITE-ProRule:PRU10013}		0	0
KAN1690333.1	Q01278	46.8	V-type proton ATPase subunit E			0	0
KAN1690335.1	Q8N0N3	31.4	Beta-1,3-glucan-binding protein		1-17	0	1
KAN1690338.1	O74225	54.2	Heat shock protein hsp88			0	0
KAN1690344.1	J9W0G9	59.9	Serine/threonine-protein kinase YPK1	2.7.11.1 {ECO:0000250|UniProtKB:Q9P7J8}		0	0
KAN1690345.1	Q4PF85	58.1	Eukaryotic translation initiation factor 3 subunit L			0	0
KAN1690346.1	O64642	32.5	UTP:RNA uridylyltransferase 1	2.7.7.52 {ECO:0000269|PubMed:23748567}		0	0
KAN1690350.1	P27929	40.3	Small ribosomal subunit protein uS4m			0	0
KAN1690351.1	A0A067NHW8	94.1	Class I hydrophobin 15		1-21	0	1
KAN1690352.1	Q9Y705	36.4	Spindle pole body component alp4			0	0
KAN1690354.1	Q8U0R9	31.4	GMP synthase [glutamine-hydrolyzing] subunit A	6.3.5.2 {ECO:0000255|HAMAP-Rule:MF_01510}		0	0
KAN1690357.1	Q870W0	72.6	Protein transport protein SEC61 subunit alpha			8	0
KAN1690361.1	A2R797	39.5	Probable alpha-fucosidase A	3.2.1.51	1-20	0	1
KAN1690363.1	P30839	41.3	Aldehyde dehydrogenase family 3 member A2	1.2.1.3 {ECO:0000250|UniProtKB:P47740};1.2.1.94 {ECO:0000250|UniProtKB:P51648}		1	0
KAN1690365.1	A0A067N648	95.4	Class I hydrophobin 3		1-17	0	1
KAN1690366.1	F2Z699	47.6	External alternative NADH-ubiquinone oxidoreductase, mitochondrial	1.6.5.9		0	0
KAN1690368.1	P0CR18	67.8	Ribose-5-phosphate isomerase	5.3.1.6		0	0
KAN1690369.1	B0D6H2	74.5	Pentafunctional AROM polypeptide	1.1.1.25 {ECO:0000255|HAMAP-Rule:MF_03143};2.5.1.19 {ECO:0000255|HAMAP-Rule:MF_03143};2.7.1.71 {ECO:0000255|HAMAP-Rule:MF_03143};4.2.1.10 {ECO:0000255|HAMAP-Rule:MF_03143};4.2.3.4 {ECO:0000255|HAMAP-Rule:MF_03143}		0	0
KAN1690375.1	Q07842	37.1	NADH-ubiquinone oxidoreductase 10.5 kDa subunit			0	0
KAN1690378.1	O94523	42.1	Probable acyl-CoA desaturase	1.14.19.1 {ECO:0000250|UniProtKB:P21147}		4	0
KAN1690380.1	A0A384JC04	48.7	Xyloglucanase 1	3.2.1.151 {ECO:0000269|PubMed:28710128}	1-18	0	1
KAN1690382.1	O94739	97.2	Calmodulin			0	0
KAN1690383.1	Q9HDY1	34.3	Anaphase spindle elongation protein 1			0	0
KAN1690384.1	A5ABG5	31.5	FAD-dependent monooxygenase pynG	1.-.-.- {ECO:0000269|PubMed:26414728}		0	0
KAN1690385.1	Q5ATG7	43.4	Aspyridones efflux protein apdF			12	0
KAN1690386.1	Q9ZQP2	37.3	Putative peroxisomal acyl-coenzyme A oxidase 1.2	1.3.3.6		0	0
KAN1690388.1	Q10093	57.5	Uncharacterized protein C11D3.14c			0	0
KAN1690390.1	P0CN26	54.9	DNA polymerase epsilon catalytic subunit A	2.7.7.7 {ECO:0000250|UniProtKB:P15436}		0	0
KAN1690391.1	O36027	41.9	Actin-binding protein wsp1			0	0
KAN1690402.1	A0A1B1ZGB5	41.2	Adenylate-forming reductase Nps10	1.2.1.- {ECO:0000269|PubMed:27457378}		0	0
KAN1690403.1	A0A1B1ZGB5	39.6	Adenylate-forming reductase Nps10	1.2.1.- {ECO:0000269|PubMed:27457378}		0	0
KAN1690404.1	Q9URY1	48.2	Serine/threonine-protein kinase ppk16	2.7.11.1		0	0
KAN1690405.1	Q54YZ9	42.7	Hybrid signal transduction histidine kinase J	2.7.13.3		0	0
KAN1690409.1	Q6IRB8	30.2	Lysine-specific demethylase 3A-A	1.14.11.65 {ECO:0000250|UniProtKB:Q9Y4C1}		0	0
KAN1690411.1	Q09825	34.0	Spindle pole body-associated protein sad1			1	0
KAN1690428.1	Q92356	76.0	Synaptobrevin homolog 1			1	0
KAN1690429.1	Q92354	66.4	Large ribosomal subunit protein eL24A			0	0
KAN1690430.1	Q54WR8	40.1	Glucosamine 6-phosphate N-acetyltransferase 1	2.3.1.4 {ECO:0000250|UniProtKB:Q96EK6}		0	0
KAN1690435.1	C7DLJ6	38.5	Oleate hydratase	4.2.1.53 {ECO:0000269|PubMed:19465645, ECO:0000269|PubMed:26077980}		0	0
KAN1690436.1	P91891	57.8	Protein Mo25			0	0
KAN1690437.1	P91891	55.1	Protein Mo25			0	0
KAN1690439.1	P91891	51.7	Protein Mo25			0	0
KAN1690441.1	P91891	47.6	Protein Mo25			0	0
KAN1690442.1	P36618	47.3	Cell division control protein 16			0	0
KAN1690443.1	Q9SJM7	32.9	Uridine nucleosidase 1	3.2.2.- {ECO:0000269|PubMed:21235647, ECO:0000269|PubMed:30787180};3.2.2.2 {ECO:0000269|PubMed:19293370};3.2.2.3 {ECO:0000269|PubMed:19293370};3.2.2.7 {ECO:0000269|PubMed:19293370}		0	0
KAN1690444.1	P0CQ78	56.1	ATP-dependent RNA helicase DBP3	3.6.4.13		0	0
KAN1690446.1	P80402	41.6	2,3-dihydroxybenzoate decarboxylase	4.1.1.46		0	0
KAN1690447.1	Q5K8R6	33.1	Beta-1,2-xylosyltransferase 1	2.4.1.-		1	0
KAN1690448.1	Q5K8R6	34.9	Beta-1,2-xylosyltransferase 1	2.4.1.-		1	0
KAN1690450.1	Q4WS70	32.4	Major facilitator superfamily multidrug transporter mdrA			12	0
KAN1690451.1	P0CT89	38.2	4-O-methyltransferase 1	2.1.1.- {ECO:0000269|PubMed:26672450}		0	0
KAN1690453.1	G2X2I9	41.6	Sugar transporter 12			12	0
KAN1690454.1	C0LGP9	30.6	Probable leucine-rich repeat receptor-like protein kinase IMK3	2.7.11.1	1-48	1	0
KAN1690455.1	P0CM58	42.0	Metacaspase-1	3.4.22.-		0	0
KAN1690459.1	A5H0J3	42.3	Uracil catabolism protein 4			0	0
KAN1690460.1	P40900	40.1	Sexual differentiation process protein isp4			16	0
KAN1690466.1	Q9CWD8	43.0	Iron-sulfur cluster transfer protein NUBPL			0	0
KAN1690467.1	B8N0E7	34.5	Hydroxylase/desaturase asaB	1.-.-.- {ECO:0000269|PubMed:29674152}		0	0
KAN1690469.1	P30598	56.3	Chitin synthase 1	2.4.1.16 {ECO:0000305|Ref.2}		7	0
KAN1690470.1	O74187	60.4	Aldehyde dehydrogenase	1.2.1.3		0	0
KAN1690471.1	O74187	60.4	Aldehyde dehydrogenase	1.2.1.3		0	0
KAN1690472.1	Q13011	48.7	Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial	5.3.3.21 {ECO:0000250|UniProtKB:Q62651}		0	0
KAN1690474.1	P87142	30.9	Heat shock protein 70 homolog Ssz1			0	0
KAN1690475.1	Q11119	40.3	Ubiquitin carboxyl-terminal hydrolase 14	3.4.19.12		0	0
KAN1690477.1	A0A2H3D1U1	45.1	Dehydrogenase ARMGADRAFT_1018426	1.1.1.-	1-19	0	1
KAN1690478.1	A0A2Z6E914	31.9	Oxidoreductase spdH	1.-.-.- {ECO:0000269|PubMed:29718548}	1-18	0	1
KAN1690479.1	A0A348B793	31.3	Monoterpene synthase 25	4.2.3.- {ECO:0000269|PubMed:30105900}		0	0
KAN1690480.1	F1SYH1	38.2	Cytochrome P450 monooxygenase 208	1.-.-.- {ECO:0000269|PubMed:21938516}		1	0
KAN1690481.1	O74187	71.7	Aldehyde dehydrogenase	1.2.1.3		0	0
KAN1690483.1	Q9UU76	30.7	Pumilio homology domain family member 6			0	0
KAN1690485.1	Q9UTE8	37.7	Chromatin-remodeling complex subunit ies6			0	0
KAN1690486.1	Q9P4X3	41.9	Probable U3 small nucleolar RNA-associated protein 7			0	0
KAN1690487.1	B0DWN3	93.5	U6 snRNA-associated Sm-like protein LSm6			0	0
KAN1690489.1	Q8VZQ6	30.8	LanC-like protein GCL2			0	0
KAN1690492.1	Q01772	31.6	Aldehyde oxidase GLOX	1.2.3.15 {ECO:0000269|PubMed:3553159, ECO:0000269|PubMed:8557673}	1-22	0	1
KAN1690493.1	Q01772	33.2	Aldehyde oxidase GLOX	1.2.3.15 {ECO:0000269|PubMed:3553159, ECO:0000269|PubMed:8557673}	1-22	0	1
KAN1690494.1	O13716	35.8	Glucan endo-1,3-alpha-glucosidase agn1	3.2.1.59	1-20	0	1
KAN1690503.1	Q8QHA5	33.9	DNA replication ATP-dependent helicase/nuclease DNA2	3.1.-.-;5.6.2.3 {ECO:0000250|UniProtKB:P51530}		0	0
KAN1690504.1	Q92234	46.8	Fruiting body differentiation protein 16		1-19	0	1
KAN1690505.1	S7QP81	50.6	AA9 family lytic polysaccharide monooxygenase D	1.14.99.54 {ECO:0000305|PubMed:27590806};1.14.99.56 {ECO:0000305|PubMed:27590806}	1-23	0	1
KAN1690506.1	S7QP81	51.9	AA9 family lytic polysaccharide monooxygenase D	1.14.99.54 {ECO:0000305|PubMed:27590806};1.14.99.56 {ECO:0000305|PubMed:27590806}	1-23	0	1
KAN1690511.1	Q10179	55.9	Putative glycine--tRNA ligase	2.7.7.- {ECO:0000250|UniProtKB:P41250};6.1.1.14 {ECO:0000250|UniProtKB:P41250}		0	0
KAN1690513.1	B8NM62	40.4	Pyridoxamine 5'-phosphate oxidase family protein ustO	1.-.-.- {ECO:0000305}		1	0
KAN1690516.1	A0A4P8DJW5	32.9	Short chain dehydrogenase/reductase dmxR8	1.1.1.- {ECO:0000305|PubMed:30996871}		0	0
KAN1690517.1	G4MVZ5	38.4	Short-chain dehydrogenase/reductase OXR1	1.1.1.- {ECO:0000305|PubMed:18433432}		0	0
KAN1690520.1	F1SYI7	35.4	Cytochrome P450 monooxygenase 226	1.-.-.- {ECO:0000269|PubMed:21938516}		1	0
KAN1690521.1	F1SYF1	39.9	Cytochrome P450 monooxygenase 176	1.-.-.- {ECO:0000269|PubMed:21938516, ECO:0000269|PubMed:30105900}		1	0
KAN1690524.1	P0CM28	66.7	Ubiquitin-like protein ATG12			0	0
KAN1690525.1	A0A2H3CSB7	49.5	O-methyltransferase ARMGADRAFT_1088206	2.1.1.-		0	0
KAN1690527.1	A0A2H3CSB7	36.1	O-methyltransferase ARMGADRAFT_1088206	2.1.1.-		0	0
KAN1690530.1	P32573	49.4	Peroxisomal 2,4-dienoyl-CoA reductase SPS19 [(3E)-enoyl-CoA-producing]	1.3.1.124 {ECO:0000269|PubMed:9268358}		0	0
KAN1690531.1	Q8AWH3	34.5	Transcription factor Sox-17-alpha			0	0
KAN1690534.1	P29064	42.0	Alpha-glucosidase	3.2.1.20 {ECO:0000250|UniProtKB:Q9C0Y4}	1-35	0	1
KAN1690537.1	S7QP81	50.6	AA9 family lytic polysaccharide monooxygenase D	1.14.99.54 {ECO:0000305|PubMed:27590806};1.14.99.56 {ECO:0000305|PubMed:27590806}	1-23	0	1
KAN1690540.1	B6HIC2	37.9	MFS-rype transporter paaT			12	0
KAN1690542.1	D4AZ23	41.1	Probable leucine aminopeptidase ARB_01443	3.4.11.-	1-18	0	1
KAN1690553.1	Q13564	37.8	NEDD8-activating enzyme E1 regulatory subunit			0	0
KAN1690554.1	P0CQ28	39.5	DNA replication complex GINS protein PSF1			0	0
KAN1690555.1	Q9BX10	52.2	GTP-binding protein 2			0	0
KAN1690559.1	Q13564	37.6	NEDD8-activating enzyme E1 regulatory subunit			0	0
KAN1690560.1	O14340	46.5	Oxysterol-binding protein homolog C2F12.05c			0	0
KAN1690563.1	F1SY91	41.5	Cytochrome P450 monooxygenase 98	1.-.-.- {ECO:0000269|PubMed:21938516}		1	0
KAN1690564.1	A0A0A2J5V5	50.6	Alpha-ketoglutarate-dependent dioxygenase cnsM	1.14.11.-		0	0
KAN1690566.1	Q99252	39.8	Protein ECM3			8	0
KAN1690567.1	Q5AAI8	40.7	Nucleosome assembly protein 1			0	0
KAN1690568.1	F1SYH1	34.3	Cytochrome P450 monooxygenase 208	1.-.-.- {ECO:0000269|PubMed:21938516}		1	0
KAN1690573.1	P9WEI5	43.2	Cytochrome P450 monooxygenase claT	1.-.-.- {ECO:0000269|PubMed:38602511}		1	0
KAN1690574.1	O14201	43.2	Meiotically up-regulated gene 86 protein			6	0
KAN1690575.1	Q6NV25	52.9	Small ubiquitin-related modifier 3-like			0	0
KAN1690579.1	Q3UG98	41.0	Alpha/beta-tubulin-N-acetyltransferase 9	2.3.1.308 {ECO:0000250|UniProtKB:Q9BTE0}		0	0
KAN1690598.1	Q7XBS0	44.2	Urea-proton symporter DUR3			15	0
KAN1690601.1	B1MM05	33.6	Flavin-dependent monooxygenase	1.14.13.231 {ECO:0000305|PubMed:29632012}		0	0
KAN1690603.1	P46061	39.3	Ran GTPase-activating protein 1			0	0
KAN1690607.1	B1MM05	33.6	Flavin-dependent monooxygenase	1.14.13.231 {ECO:0000305|PubMed:29632012}		0	0
KAN1690609.1	A7EZP8	39.6	U3 small nucleolar RNA-associated protein 25			0	0
KAN1690611.1	A1C5D3	44.6	Probable alpha-galactosidase B	3.2.1.22	1-23	0	1
KAN1690613.1	Q4VC12	40.7	Putative protein MSS51 homolog, mitochondrial			0	0
KAN1690620.1	O14408	56.4	Calcium/calmodulin-dependent protein kinase	2.7.11.17		0	0
KAN1690623.1	Q92234	43.6	Fruiting body differentiation protein 16		1-19	0	1
KAN1690624.1	G2X2I9	37.5	Sugar transporter 12			12	0
KAN1690632.1	O42773	60.0	Serine/threonine-protein phosphatase 2B catalytic subunit A1	3.1.3.16		0	0
KAN1690634.1	P54898	46.0	Protein arg-6, mitochondrial	1.2.1.38;2.7.2.8		0	0
